"","dt","AverageTemperature"
"1",1980-01-01,23.798
"2",1980-02-01,24.296
"3",1980-03-01,26.346
"4",1980-04-01,26.595
"5",1980-05-01,27.735
"6",1980-06-01,25.984
"7",1980-07-01,25.741
"8",1980-08-01,25.877
"9",1980-09-01,25.494
"10",1980-10-01,24.699
"11",1980-11-01,23.423
"12",1980-12-01,22.037
"13",1981-01-01,22.142
"14",1981-02-01,23.937
"15",1981-03-01,26.191
"16",1981-04-01,26.481
"17",1981-05-01,26.934
"18",1981-06-01,25.593
"19",1981-07-01,25.468
"20",1981-08-01,25.584
"21",1981-09-01,25.351
"22",1981-10-01,24.577
"23",1981-11-01,23.469
"24",1981-12-01,23.029
"25",1982-01-01,23.64
"26",1982-02-01,24.807
"27",1982-03-01,25.969
"28",1982-04-01,26.928
"29",1982-05-01,26.593
"30",1982-06-01,26.058
"31",1982-07-01,25.08
"32",1982-08-01,25.928
"33",1982-09-01,25.459
"34",1982-10-01,24.594
"35",1982-11-01,23.784
"36",1982-12-01,23.285
"37",1983-01-01,23.392
"38",1983-02-01,24.682
"39",1983-03-01,26.527
"40",1983-04-01,27.197
"41",1983-05-01,28.31
"42",1983-06-01,26.928
"43",1983-07-01,25.591
"44",1983-08-01,25.844
"45",1983-09-01,25.652
"46",1983-10-01,24.823
"47",1983-11-01,24.747
"48",1983-12-01,23.803
"49",1984-01-01,22.807
"50",1984-02-01,24.009
"51",1984-03-01,25.565
"52",1984-04-01,27.144
"53",1984-05-01,26.819
"54",1984-06-01,25.848
"55",1984-07-01,24.88
"56",1984-08-01,25.327
"57",1984-09-01,25.069
"58",1984-10-01,24.975
"59",1984-11-01,23.121
"60",1984-12-01,23.014
"61",1985-01-01,22.49
"62",1985-02-01,24.011
"63",1985-03-01,25.932
"64",1985-04-01,26.529
"65",1985-05-01,27.026
"66",1985-06-01,26.226
"67",1985-07-01,25.486
"68",1985-08-01,25.35
"69",1985-09-01,25.64
"70",1985-10-01,24.408
"71",1985-11-01,24.171
"72",1985-12-01,22.997
"73",1986-01-01,22.361
"74",1986-02-01,23.767
"75",1986-03-01,24.861
"76",1986-04-01,26.232
"77",1986-05-01,26.874
